iter	Passed	Remaining
684	1639	753
685	1641	751
686	1643	748
687	1645	746
688	1648	743
689	1650	741
690	1652	738
691	1654	736
692	1656	733
693	1658	731
694	1660	728
695	1662	726
696	1664	723
697	1666	721
698	1669	718
699	1671	716
700	1673	713
701	1675	711
702	1677	708
703	1679	706
704	1681	703
705	1683	701
706	1685	698
707	1687	696
708	1689	693
709	1692	691
710	1694	688
711	1696	686
712	1698	683
713	1700	681
714	1702	678
715	1704	676
716	1707	673
717	1709	671
718	1711	669
719	1713	666
720	1716	664
721	1717	661
722	1720	658
723	1722	656
724	1724	654
725	1726	651
726	1728	649
727	1730	646
728	1732	643
729	1734	641
730	1736	638
731	1738	636
732	1740	634
733	1743	631
734	1745	629
735	1747	626
736	1749	624
737	1752	621
738	1754	619
739	1756	617
740	1758	614
741	1760	612
742	1762	609
743	1764	607
744	1766	604
745	1768	602
746	1770	599
747	1772	597
748	1774	594
749	1776	592
750	1778	589
751	1780	587
752	1782	584
753	1785	582
754	1787	579
755	1789	577
756	1791	574
757	1793	572
758	1795	570
759	1797	567
760	1799	565
761	1801	562
762	1803	560
763	1805	557
764	1807	555
765	1809	552
766	1811	550
767	1814	547
768	1816	545
769	1818	543
770	1820	540
771	1822	538
772	1824	535
773	1826	533
774	1829	531
775	1831	528
776	1833	526
777	1835	523
778	1837	521
779	1839	518
780	1841	516
781	1843	514
782	1845	511
783	1847	509
784	1850	506
785	1852	504
786	1854	501
787	1856	499
788	1859	497
789	1861	494
790	1863	492
791	1865	489
792	1867	487
793	1869	484
794	1871	482
795	1873	480
796	1875	477
797	1877	475
798	1879	472
799	1881	470
800	1884	468
801	1886	465
802	1888	463
803	1890	460
804	1892	458
805	1895	456
806	1897	453
807	1899	451
808	1901	448
809	1903	446
810	1905	444
811	1908	441
812	1910	439
813	1912	436
814	1914	434
815	1916	432
816	1918	429
817	1920	427
818	1922	424
819	1924	422
820	1926	420
821	1928	417
822	1930	415
823	1932	412
824	1934	410
825	1936	408
826	1938	405
827	1940	403
828	1943	400
829	1945	398
830	1947	395
831	1949	393
832	1951	391
833	1953	388
834	1955	386
835	1957	384
836	1959	381
837	1961	379
838	1963	376
839	1966	374
840	1968	372
841	1970	369
842	1972	367
843	1974	365
844	1976	362
845	1979	360
846	1981	357
847	1983	355
848	1985	353
849	1987	350
850	1989	348
851	1991	345
852	1993	343
853	1996	341
854	1998	338
855	2000	336
856	2004	334
857	2007	332
858	2009	329
859	2012	327
860	2014	325
861	2017	322
862	2020	320
863	2023	318
864	2025	316
865	2028	313
866	2030	311
867	2033	309
868	2036	306
869	2038	304
870	2041	302
871	2043	299
872	2045	297
873	2048	295
874	2050	292
875	2053	290
876	2055	288
877	2057	285
878	2059	283
879	2062	281
880	2064	278
881	2067	276
882	2070	274
883	2072	271
884	2074	269
885	2077	267
886	2079	264
887	2083	262
888	2085	260
889	2087	258
890	2090	255
891	2093	253
892	2095	251
893	2098	248
894	2100	246
895	2103	244
896	2105	241
897	2107	239
898	2109	237
899	2112	234
900	2115	232
901	2117	230
902	2120	227
903	2122	225
904	2125	223
905	2127	220
906	2130	218
907	2132	216
908	2135	213
909	2137	211
910	2139	209
911	2142	206
912	2144	204
913	2147	202
914	2150	199
915	2152	197
916	2155	195
917	2157	192
918	2160	190
919	2162	188
920	2165	185
921	2167	183
922	2169	180
923	2171	178
924	2174	176
925	2176	173
926	2178	171
927	2181	169
928	2183	166
929	2185	164
930	2187	162
931	2190	159
932	2192	157
933	2194	155
934	2196	152
935	2198	150
936	2200	147
937	2204	145
938	2206	143
939	2208	140
940	2210	138
941	2212	136
942	2215	133
943	2217	131
944	2219	129
945	2221	126
946	2224	124
947	2226	122
948	2228	119
949	2230	117
950	2232	115
951	2234	112
952	2236	110
953	2239	107
954	2241	105
955	2243	103
956	2245	100
957	2248	98
958	2250	96
959	2252	93
960	2254	91
961	2256	89
962	2258	86
963	2261	84
964	2263	82
965	2266	79
966	2268	77
967	2271	75
968	2274	72
969	2277	70
970	2280	68
971	2283	65
972	2289	63
973	2292	61
974	2294	58
975	2297	56
976	2299	54
977	2302	51
978	2304	49
979	2307	47
980	2310	44
981	2312	42
982	2315	40
983	2317	37
984	2320	35
985	2323	32
986	2326	30
987	2328	28
988	2330	25
989	2334	23
990	2336	21
991	2339	18
992	2341	16
993	2344	14
994	2347	11
995	2349	9
996	2352	7
997	2354	4
998	2357	2
999	2359	0
